Row,Day,Day.Of.Week,Date,Page.Loads,Cases,First.Time.Visits,Returning.Visits
439,Thursday,5,11/26/2015,3838,2825,2334,491
440,Friday,6,11/27/2015,3576,2579,2118,461
441,Saturday,7,11/28/2015,2799,1974,1652,322
442,Sunday,1,11/29/2015,4228,3127,2605,522
443,Monday,2,11/30/2015,6331,457,3817,753
444,Tuesday,3,12/1/2015,638,4743,4027,716
445,Wednesday,4,12/2/2015,6314,4829,4039,790
446,Thursday,5,12/3/2015,616,4584,3835,749
447,Friday,6,12/4/2015,4859,3615,2995,620
448,Saturday,7,12/5/2015,3317,2468,204,428
449,Sunday,1,12/6/2015,4715,355,2972,578
450,Monday,2,12/7/2015,694,5136,4303,833
451,Tuesday,3,12/8/2015,6551,4866,4068,798
452,Wednesday,4,12/9/2015,6327,4761,3961,800
453,Thursday,5,12/10/2015,6212,4578,383,748
454,Friday,6,12/11/2015,4687,3388,2771,617
455,Saturday,7,12/12/2015,3014,2283,1856,427
456,Sunday,1,12/13/2015,4132,3064,2548,516
457,Monday,2,12/14/2015,5989,433,3606,724
458,Tuesday,3,12/15/2015,5331,3967,3309,658
459,Wednesday,4,12/16/2015,5183,3665,3025,640
460,Thursday,5,12/17/2015,4769,3515,2917,598
461,Friday,6,12/18/2015,3627,2518,2071,447
462,Saturday,7,12/19/2015,1857,1319,1087,232
463,Sunday,1,12/20/2015,2221,1489,1204,285
464,Monday,2,12/21/2015,3335,2335,1906,429
465,Tuesday,3,12/22/2015,2883,2047,1639,408
466,Wednesday,4,12/23/2015,2353,1621,1312,309
467,Thursday,5,12/24/2015,1578,1099,886,213
468,Friday,6,12/25/2015,1017,724,586,138
469,Saturday,7,12/26/2015,1334,936,760,176
470,Sunday,1,12/27/2015,169,1155,947,208
471,Monday,2,12/28/2015,2838,1829,1474,355
472,Tuesday,3,12/29/2015,2815,1786,1419,367
473,Wednesday,4,12/30/2015,2382,1618,1292,326
474,Thursday,5,12/31/2015,1587,1035,809,226
475,Friday,6,1/1/2016,1411,960,786,174
476,Saturday,7,1/2/2016,1838,1197,969,228
477,Sunday,1,1/3/2016,218,1562,1279,283
478,Monday,2,1/4/2016,3587,2494,2037,457
479,Tuesday,3,1/5/2016,3855,2742,223,512
480,Wednesday,4,1/6/2016,384,2628,2127,501
481,Thursday,5,1/7/2016,3735,2746,2258,488
482,Friday,6,1/8/2016,3223,2286,186,426
483,Saturday,7,1/9/2016,2207,1531,128,251
484,Sunday,1,1/10/2016,2814,2,1661,339
485,Monday,2,1/11/2016,4007,2976,2444,532
486,Tuesday,3,1/12/2016,4119,2961,2385,576
487,Wednesday,4,1/13/2016,4338,3164,2631,533
488,Thursday,5,1/14/2016,4432,2962,2418,544
489,Friday,6,1/15/2016,3306,2349,1866,483
490,Saturday,7,1/16/2016,2223,1557,1262,295
491,Sunday,1,1/17/2016,2757,2002,1635,367
492,Monday,2,1/18/2016,4047,2898,2373,525
493,Tuesday,3,1/19/2016,4489,319,2566,624
494,Wednesday,4,1/20/2016,4588,3232,2656,576
495,Thursday,5,1/21/2016,4398,3106,2561,545
496,Friday,6,1/22/2016,334,2455,199,465
497,Saturday,7,1/23/2016,2344,1639,1338,301
498,Sunday,1,1/24/2016,2973,2094,1736,358
499,Monday,2,1/25/2016,4638,3205,2649,556
500,Tuesday,3,1/26/2016,4791,3409,2834,575
501,Wednesday,4,1/27/2016,5104,3768,3197,571
502,Thursday,5,1/28/2016,4621,3439,2876,563
503,Friday,6,1/29/2016,3831,2715,2232,483
504,Saturday,7,1/30/2016,2295,169,14,290
505,Sunday,1,1/31/2016,3235,2462,205,412
506,Monday,2,2/1/2016,4918,364,306,580
507,Tuesday,3,2/2/2016,5127,3783,3195,588
508,Wednesday,4,2/3/2016,4794,3575,2999,576
509,Thursday,5,2/4/2016,4788,342,2848,572
510,Friday,6,2/5/2016,3948,2727,2256,471
511,Saturday,7,2/6/2016,2383,1765,1477,288
512,Sunday,1,2/7/2016,295,2231,1839,392
513,Monday,2,2/8/2016,4905,3592,3024,568
514,Tuesday,3,2/9/2016,5353,3931,3299,632
515,Wednesday,4,2/10/2016,5492,4007,3358,649
516,Thursday,5,2/11/2016,5052,3628,3019,609
517,Friday,6,2/12/2016,3764,2807,23,507
518,Saturday,7,2/13/2016,2458,1788,1459,329
519,Sunday,1,2/14/2016,3098,2277,1866,411
520,Monday,2,2/15/2016,4951,3652,3039,613
521,Tuesday,3,2/16/2016,5495,4,3304,696
522,Wednesday,4,2/17/2016,5505,4062,3375,687
523,Thursday,5,2/18/2016,5188,3812,3156,656
524,Friday,6,2/19/2016,4002,2932,2377,555
525,Saturday,7,2/20/2016,2607,1888,1537,351
526,Sunday,1,2/21/2016,3906,2838,2355,483
527,Monday,2,2/22/2016,636,4432,3684,748
528,Tuesday,3,2/23/2016,6046,446,3714,746
529,Wednesday,4,2/24/2016,5938,4309,3499,810
530,Thursday,5,2/25/2016,5325,3892,3199,693
531,Friday,6,2/26/2016,4165,3048,249,558
532,Saturday,7,2/27/2016,2829,2096,1726,370
533,Sunday,1,2/28/2016,409,2979,2462,517
534,Monday,2,2/29/2016,5734,4224,3493,731
535,Tuesday,3,3/1/2016,6214,4474,3731,743
536,Wednesday,4,3/2/2016,5906,4333,3597,736
537,Thursday,5,3/3/2016,5814,4191,3419,772
538,Friday,6,3/4/2016,4507,3188,2624,564
539,Saturday,7,3/5/2016,2859,2064,1718,346
540,Sunday,1,3/6/2016,3897,2806,2326,480
541,Monday,2,3/7/2016,5849,424,3503,737
542,Tuesday,3,3/8/2016,6264,4526,3743,783
543,Wednesday,4,3/9/2016,6062,4404,3624,780
544,Thursday,5,3/10/2016,5685,4159,3415,744
545,Friday,6,3/11/2016,4391,3241,2627,614
546,Saturday,7,3/12/2016,288,2046,1638,408
547,Sunday,1,3/13/2016,374,2673,2163,510
548,Monday,2,3/14/2016,571,4261,3469,792
549,Tuesday,3,3/15/2016,5168,3778,3047,731
550,Wednesday,4,3/16/2016,5577,4062,3287,775
551,Thursday,5,3/17/2016,5238,3827,3134,693
552,Friday,6,3/18/2016,3931,2871,232,551
553,Saturday,7,3/19/2016,2606,1892,1568,324
554,Sunday,1,3/20/2016,3149,241,2028,382
555,Monday,2,3/21/2016,5565,3968,3274,694
556,Tuesday,3,3/22/2016,5281,377,3035,735
557,Wednesday,4,3/23/2016,5202,378,3146,634
558,Thursday,5,3/24/2016,4581,3203,2649,554
559,Friday,6,3/25/2016,3264,2281,1847,434
560,Saturday,7,3/26/2016,2344,1759,1393,366
561,Sunday,1,3/27/2016,3112,2311,189,421
562,Monday,2,3/28/2016,5051,3655,2985,670
563,Tuesday,3,3/29/2016,5333,3944,3217,727
564,Wednesday,4,3/30/2016,5671,4078,3369,709
565,Thursday,5,3/31/2016,5097,3707,3026,681
566,Friday,6,4/1/2016,4555,2971,2408,563
567,Saturday,7,4/2/2016,2987,2129,1737,392
568,Sunday,1,4/3/2016,4257,2964,2421,543
569,Monday,2,4/4/2016,5804,4216,3426,790
570,Tuesday,3,4/5/2016,5885,4379,3597,782
571,Wednesday,4,4/6/2016,6054,4293,3522,771
572,Thursday,5,4/7/2016,5791,4147,3422,725
573,Friday,6,4/8/2016,4741,343,282,610
574,Saturday,7,4/9/2016,2946,214,174,400
575,Sunday,1,4/10/2016,4071,2864,233,534
576,Monday,2,4/11/2016,6265,4503,3667,836
577,Tuesday,3,4/12/2016,6298,4626,3769,857
578,Wednesday,4,4/13/2016,6495,4628,3791,837
579,Thursday,5,4/14/2016,5536,4189,3431,758
580,Friday,6,4/15/2016,4737,3447,2785,662
581,Saturday,7,4/16/2016,3232,2333,1862,471
582,Sunday,1,4/17/2016,4201,3093,2504,589
583,Monday,2,4/18/2016,6806,4769,392,849
584,Tuesday,3,4/19/2016,6769,4817,394,877
585,Wednesday,4,4/20/2016,6581,4824,3926,898
586,Thursday,5,4/21/2016,6254,4537,3707,830
587,Friday,6,4/22/2016,5163,3685,3009,676
588,Saturday,7,4/23/2016,3851,2595,2113,482
589,Sunday,1,4/24/2016,4695,3386,2761,625
590,Monday,2,4/25/2016,7098,5224,4237,987
591,Tuesday,3,4/26/2016,7156,5392,4468,924
592,Wednesday,4,4/27/2016,6836,5056,413,926
593,Thursday,5,4/28/2016,6329,4724,3892,832
594,Friday,6,4/29/2016,499,3608,2922,686
595,Saturday,7,4/30/2016,3536,2489,1993,496
596,Sunday,1,5/1/2016,4366,3236,2605,631
597,Monday,2,5/2/2016,651,4786,3909,877
598,Tuesday,3,5/3/2016,6855,4962,4085,877
599,Wednesday,4,5/4/2016,6599,4651,3744,907
600,Thursday,5,5/5/2016,551,4105,3375,730
601,Friday,6,5/6/2016,4549,3245,2639,606
602,Saturday,7,5/7/2016,3064,2167,176,407
603,Sunday,1,5/8/2016,3633,2663,218,483
604,Monday,2,5/9/2016,5838,4283,3489,794
605,Tuesday,3,5/10/2016,6026,4336,3581,755
606,Wednesday,4,5/11/2016,578,4226,3479,747
607,Thursday,5,5/12/2016,5131,3781,3101,680
608,Friday,6,5/13/2016,3928,2845,2294,551
609,Saturday,7,5/14/2016,2636,193,1552,378
610,Sunday,1,5/15/2016,3278,2366,1922,444
611,Monday,2,5/16/2016,4785,356,2882,678
612,Tuesday,3,5/17/2016,4886,3601,2914,687
613,Wednesday,4,5/18/2016,5145,3672,2987,685
614,Thursday,5,5/19/2016,5849,4211,3484,727
615,Friday,6,5/20/2016,4456,3324,2725,599
616,Saturday,7,5/21/2016,296,2138,1716,422
617,Sunday,1,5/22/2016,3885,286,2338,522
618,Monday,2,5/23/2016,5857,4155,3368,787
619,Tuesday,3,5/24/2016,6162,4345,3526,819
620,Wednesday,4,5/25/2016,6014,4254,3398,856
621,Thursday,5,5/26/2016,5652,4119,3385,734
622,Friday,6,5/27/2016,4793,334,2692,648
623,Saturday,7,5/28/2016,2819,1995,1611,384
624,Sunday,1,5/29/2016,3687,2546,2067,479
625,Monday,2,5/30/2016,4851,3399,2701,698
626,Tuesday,3,5/31/2016,5775,4216,3413,803
627,Wednesday,4,6/1/2016,5443,3962,3193,769
628,Thursday,5,6/2/2016,559,3959,3176,783
629,Friday,6,6/3/2016,4482,3164,2489,675
630,Saturday,7,6/4/2016,2792,1947,1533,414
631,Sunday,1,6/5/2016,3371,2449,1979,470
632,Monday,2,6/6/2016,5547,3832,3036,796
633,Tuesday,3,6/7/2016,5468,3954,3226,728
634,Wednesday,4,6/8/2016,5104,3751,3064,687
635,Thursday,5,6/9/2016,4728,3485,2812,673
636,Friday,6,6/10/2016,4024,2855,229,565
637,Saturday,7,6/11/2016,235,1677,1348,329
638,Sunday,1,6/12/2016,3234,2196,1779,417
639,Monday,2,6/13/2016,4948,355,279,760
640,Tuesday,3,6/14/2016,5247,376,3052,708
641,Wednesday,4,6/15/2016,5003,3557,281,747
642,Thursday,5,6/16/2016,4816,3482,2775,707
643,Friday,6,6/17/2016,4208,2818,2267,551
644,Saturday,7,6/18/2016,2454,1668,1357,311
645,Sunday,1,6/19/2016,2763,1919,1506,413
646,Monday,2,6/20/2016,4954,3522,2829,693
647,Tuesday,3,6/21/2016,4903,347,2793,677
648,Wednesday,4,6/22/2016,4907,3464,2772,692
649,Thursday,5,6/23/2016,4625,3336,2669,667
650,Friday,6,6/24/2016,3497,2482,1947,535
651,Saturday,7,6/25/2016,1826,1358,1101,257
652,Sunday,1,6/26/2016,2307,1721,1356,365
653,Monday,2,6/27/2016,4368,3078,2433,645
654,Tuesday,3,6/28/2016,4233,3091,2466,625
655,Wednesday,4,6/29/2016,4187,2948,2377,571
656,Thursday,5,6/30/2016,3811,2726,2135,591
657,Friday,6,7/1/2016,3179,2226,173,496
658,Saturday,7,7/2/2016,1615,1039,814,225
659,Sunday,1,7/3/2016,1788,1307,1028,279
660,Monday,2,7/4/2016,2959,2144,1653,491
661,Tuesday,3,7/5/2016,3947,284,2235,605
662,Wednesday,4,7/6/2016,3841,2821,2248,573
663,Thursday,5,7/7/2016,3729,27,2148,552
664,Friday,6,7/8/2016,3324,2381,1891,490
665,Saturday,7,7/9/2016,1795,1305,1036,269
666,Sunday,1,7/10/2016,2373,1655,1321,334
667,Monday,2,7/11/2016,4101,2855,2208,647
668,Tuesday,3,7/12/2016,4241,296,2352,608
669,Wednesday,4,7/13/2016,4478,3189,2578,611
670,Thursday,5,7/14/2016,3961,2814,2214,600
671,Friday,6,7/15/2016,3367,2325,1796,529
672,Saturday,7,7/16/2016,1828,1222,951,271
673,Sunday,1,7/17/2016,2344,1636,1319,317
674,Monday,2,7/18/2016,4415,3007,2382,625
675,Tuesday,3,7/19/2016,4403,3151,2502,649
676,Wednesday,4,7/20/2016,4244,3082,245,632
677,Thursday,5,7/21/2016,4322,3077,2404,673
678,Friday,6,7/22/2016,3456,2431,1936,495
679,Saturday,7,7/23/2016,2068,1407,1099,308
680,Sunday,1,7/24/2016,2568,1755,1374,381
681,Monday,2,7/25/2016,477,332,2628,692
682,Tuesday,3,7/26/2016,4621,3277,2595,682
683,Wednesday,4,7/27/2016,447,3164,2513,651
684,Thursday,5,7/28/2016,4307,3077,2459,618
685,Friday,6,7/29/2016,337,2366,1818,548
686,Saturday,7,7/30/2016,196,1341,1017,324
687,Sunday,1,7/31/2016,2412,1765,1423,342
688,Monday,2,8/1/2016,4504,3095,2489,606
689,Tuesday,3,8/2/2016,4382,3138,2499,639
690,Wednesday,4,8/3/2016,471,3369,2697,672
691,Thursday,5,8/4/2016,4324,3106,2479,627
692,Friday,6,8/5/2016,3472,2497,198,517
693,Saturday,7,8/6/2016,1909,1339,1081,258
694,Sunday,1,8/7/2016,2365,1688,1334,354
695,Monday,2,8/8/2016,446,3056,2438,618
696,Tuesday,3,8/9/2016,4479,3135,2482,653
697,Wednesday,4,8/10/2016,451,3207,255,657
698,Thursday,5,8/11/2016,434,3111,2491,620
699,Friday,6,8/12/2016,3508,2436,1933,503
700,Saturday,7,8/13/2016,203,142,1122,298
701,Sunday,1,8/14/2016,2586,1749,1399,350
702,Monday,2,8/15/2016,4476,297,2346,624
703,Tuesday,3,8/16/2016,3232,2299,1823,476
704,Wednesday,4,8/17/2016,4291,3106,2498,608
705,Thursday,5,8/18/2016,4247,2926,2327,599
706,Friday,6,8/19/2016,3477,2539,2045,494
707,Saturday,7,8/20/2016,2169,147,1169,301
708,Sunday,1,8/21/2016,243,1808,1453,355
709,Monday,2,8/22/2016,4358,3082,2439,643
710,Tuesday,3,8/23/2016,4465,3249,255,699
711,Wednesday,4,8/24/2016,455,321,2615,595
712,Thursday,5,8/25/2016,4147,3011,238,631
713,Friday,6,8/26/2016,3634,2532,2,532
714,Saturday,7,8/27/2016,2014,143,1141,289
715,Sunday,1,8/28/2016,2687,191,1555,355
716,Monday,2,8/29/2016,4376,3115,2521,594
717,Tuesday,3,8/30/2016,4318,3226,2622,604
718,Wednesday,4,8/31/2016,4441,3219,262,599
719,Thursday,5,9/1/2016,4234,3116,2556,560
720,Friday,6,9/2/2016,3027,223,1762,468
721,Saturday,7,9/3/2016,1966,1376,1101,275
722,Sunday,1,9/4/2016,2446,1761,1452,309
723,Monday,2,9/5/2016,3779,2643,2145,498
724,Tuesday,3,9/6/2016,4619,3341,2727,614
725,Wednesday,4,9/7/2016,4983,3584,2925,659
726,Thursday,5,9/8/2016,4645,3319,2716,603
727,Friday,6,9/9/2016,3612,263,2139,491
728,Saturday,7,9/10/2016,2153,1577,1323,254
729,Sunday,1,9/11/2016,3089,2307,1978,329
730,Monday,2,9/12/2016,458,3446,2882,564
731,Tuesday,3,9/13/2016,4788,3625,2992,633
732,Wednesday,4,9/14/2016,5095,3759,3113,646
733,Thursday,5,9/15/2016,4668,3454,286,594
734,Friday,6,9/16/2016,3711,2785,2272,513
735,Saturday,7,9/17/2016,2523,1861,1577,284
736,Sunday,1,9/18/2016,3364,2547,2122,425
737,Monday,2,9/19/2016,5513,405,3321,729
738,Tuesday,3,9/20/2016,5362,3762,3095,667
739,Wednesday,4,9/21/2016,5402,3987,3293,694
740,Thursday,5,9/22/2016,5398,3996,3299,697
741,Friday,6,9/23/2016,3783,2663,2134,529
742,Saturday,7,9/24/2016,2395,1797,1503,294
743,Sunday,1,9/25/2016,3679,2719,2289,430
744,Monday,2,9/26/2016,5688,4325,357,755
745,Tuesday,3,9/27/2016,5842,4382,3645,737
746,Wednesday,4,9/28/2016,5923,4458,3682,776
747,Thursday,5,9/29/2016,5717,4222,3487,735
748,Friday,6,9/30/2016,425,3176,2565,611
749,Saturday,7,10/1/2016,2525,1986,1656,330
750,Sunday,1,10/2/2016,3923,3023,2559,464
751,Monday,2,10/3/2016,5785,4281,3545,736
752,Tuesday,3,10/4/2016,6052,4522,378,742
753,Wednesday,4,10/5/2016,615,4588,3814,774
754,Thursday,5,10/6/2016,5591,4134,3419,715
755,Friday,6,10/7/2016,4279,3196,2616,580
756,Saturday,7,10/8/2016,2897,2066,1717,349
757,Sunday,1,10/9/2016,3904,2873,2374,499
758,Monday,2,10/10/2016,5458,4145,3442,703
759,Tuesday,3,10/11/2016,5909,4399,3685,714
760,Wednesday,4,10/12/2016,6175,462,3823,797
761,Thursday,5,10/13/2016,5856,4422,3581,841
762,Friday,6,10/14/2016,461,3505,2837,668
763,Saturday,7,10/15/2016,3081,2269,1864,405
764,Sunday,1,10/16/2016,439,3265,2718,547
765,Monday,2,10/17/2016,6507,4917,4018,899
766,Tuesday,3,10/18/2016,6941,5103,4189,914
767,Wednesday,4,10/19/2016,6576,4776,3961,815
768,Thursday,5,10/20/2016,5985,4462,3701,761
769,Friday,6,10/21/2016,4789,3497,284,657
770,Saturday,7,10/22/2016,3263,2292,1881,411
771,Sunday,1,10/23/2016,418,3135,2561,574
772,Monday,2,10/24/2016,6371,4865,3993,872
773,Tuesday,3,10/25/2016,6648,496,407,890
774,Wednesday,4,10/26/2016,6501,4777,388,897
775,Thursday,5,10/27/2016,6088,4431,3574,857
776,Friday,6,10/28/2016,4376,3179,251,669
777,Saturday,7,10/29/2016,2733,1955,1549,406
778,Sunday,1,10/30/2016,3953,2921,2344,577
779,Monday,2,10/31/2016,6108,4416,3563,853
780,Tuesday,3,11/1/2016,5668,4185,336,825
781,Wednesday,4,11/2/2016,6159,4508,3663,845
782,Thursday,5,11/3/2016,581,4241,3426,815
783,Friday,6,11/4/2016,4491,3394,267,724
784,Saturday,7,11/5/2016,311,2263,1842,421
785,Sunday,1,11/6/2016,4418,3281,2713,568
786,Monday,2,11/7/2016,6529,4488,3573,915
787,Tuesday,3,11/8/2016,5756,4251,3437,814
788,Wednesday,4,11/9/2016,5716,4102,3315,787
789,Thursday,5,11/10/2016,5323,4022,3246,776
790,Friday,6,11/11/2016,428,3085,2441,644
791,Saturday,7,11/12/2016,2982,2169,1777,392
792,Sunday,1,11/13/2016,4365,3172,2595,577
793,Monday,2,11/14/2016,6627,4888,3942,946
794,Tuesday,3,11/15/2016,6467,4808,3905,903
795,Wednesday,4,11/16/2016,6631,4903,3984,919
796,Thursday,5,11/17/2016,6378,4681,3779,902
797,Friday,6,11/18/2016,4767,3424,2734,690
798,Saturday,7,11/19/2016,3501,258,2136,444
799,Sunday,1,11/20/2016,4647,3426,2777,649
800,Monday,2,11/21/2016,6336,4693,3788,905
801,Tuesday,3,11/22/2016,6222,4564,3646,918
802,Wednesday,4,11/23/2016,5527,3904,3082,822
803,Thursday,5,11/24/2016,4267,3197,2561,636
804,Friday,6,11/25/2016,3733,2678,2135,543
805,Saturday,7,11/26/2016,3299,2394,1907,487
806,Sunday,1,11/27/2016,453,3396,2722,674
807,Monday,2,11/28/2016,6908,5047,4167,880
808,Tuesday,3,11/29/2016,7714,5338,4369,969
809,Wednesday,4,11/30/2016,749,5425,4389,1036
810,Thursday,5,12/1/2016,719,5081,412,961
811,Friday,6,12/2/2016,5391,3977,3171,806
812,Saturday,7,12/3/2016,3575,2667,2178,489
813,Sunday,1,12/4/2016,5285,4031,3247,784
814,Monday,2,12/5/2016,733,5439,4452,987
815,Tuesday,3,12/6/2016,7489,5479,45,979
816,Wednesday,4,12/7/2016,7345,5467,4469,998
817,Thursday,5,12/8/2016,6679,4991,3998,993
818,Friday,6,12/9/2016,5403,397,319,780
819,Saturday,7,12/10/2016,3573,2712,2203,509
820,Sunday,1,12/11/2016,4834,3515,2838,677
821,Monday,2,12/12/2016,6905,4945,3988,957
822,Tuesday,3,12/13/2016,6743,4927,3942,985
823,Wednesday,4,12/14/2016,6201,4488,3593,895
824,Thursday,5,12/15/2016,5571,4071,3229,842
825,Friday,6,12/16/2016,3872,278,2191,589
826,Saturday,7,12/17/2016,2613,1884,148,404
827,Sunday,1,12/18/2016,3109,2293,1853,440
828,Monday,2,12/19/2016,4324,3145,2477,668
829,Tuesday,3,12/20/2016,4226,3064,2339,725
830,Wednesday,4,12/21/2016,3991,2914,2278,636
831,Thursday,5,12/22/2016,316,2211,1728,483
832,Friday,6,12/23/2016,2386,1626,1257,369
833,Saturday,7,12/24/2016,1115,825,634,191
834,Sunday,1,12/25/2016,1387,930,740,190
835,Monday,2,12/26/2016,2147,1418,1142,276
836,Tuesday,3,12/27/2016,2686,1777,1349,428
837,Wednesday,4,12/28/2016,2885,1915,1476,439
838,Thursday,5,12/29/2016,2694,1837,14,437
839,Friday,6,12/30/2016,2273,1541,1164,377
840,Saturday,7,12/31/2016,1188,836,643,193
841,Sunday,1,1/1/2017,1447,1039,832,207
842,Monday,2,1/2/2017,2568,1844,1448,396
843,Tuesday,3,1/3/2017,3566,2527,197,557
844,Wednesday,4,1/4/2017,3941,2816,2226,590
845,Thursday,5,1/5/2017,3841,2625,2058,567
846,Friday,6,1/6/2017,3261,2338,1812,526
847,Saturday,7,1/7/2017,2241,1523,1204,319
848,Sunday,1,1/8/2017,2679,1892,1519,373
849,Monday,2,1/9/2017,4182,2841,2191,650
850,Tuesday,3,1/10/2017,4236,3039,2391,648
851,Wednesday,4,1/11/2017,4628,3206,2536,670
852,Thursday,5,1/12/2017,4205,3025,2403,622
853,Friday,6,1/13/2017,3459,2508,2033,475
854,Saturday,7,1/14/2017,2448,1744,139,354
855,Sunday,1,1/15/2017,2853,2015,1586,429
856,Monday,2,1/16/2017,4638,3178,2543,635
857,Tuesday,3,1/17/2017,5325,3669,2942,727
858,Wednesday,4,1/18/2017,4866,3364,267,694
859,Thursday,5,1/19/2017,4715,3375,2689,686
860,Friday,6,1/20/2017,3753,2713,2136,577
861,Saturday,7,1/21/2017,2481,1778,1437,341
862,Sunday,1,1/22/2017,3233,2401,1981,420
863,Monday,2,1/23/2017,5034,366,2957,703
864,Tuesday,3,1/24/2017,4787,3593,2909,684
865,Wednesday,4,1/25/2017,4901,3602,2923,679
866,Thursday,5,1/26/2017,4398,3266,2653,613
867,Friday,6,1/27/2017,3823,2832,2267,565
868,Saturday,7,1/28/2017,2619,1901,1534,367
869,Sunday,1,1/29/2017,3518,2612,2205,407
870,Monday,2,1/30/2017,5178,3826,3127,699
871,Tuesday,3,1/31/2017,529,3876,3127,749
872,Wednesday,4,2/1/2017,5469,4116,3402,714
873,Thursday,5,2/2/2017,5399,4028,3303,725
874,Friday,6,2/3/2017,4232,3012,2342,670
875,Saturday,7,2/4/2017,2828,2084,1697,387
876,Sunday,1,2/5/2017,3724,2783,2281,502
